Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Artigo/Inciso;Economia Absoluta;Economia Percentual
000065/20;65.0;DISPENSA;20;23;Homologada  ;07/08/2020;17200.0;17000.0;Contratação de empresa especializada na prestação de serviços de assessoria, treinamento e capacitação para fiscalização e cobrança da licença de uso ;17/07/2020;07/08/2020;;N;Art. 24, II, Lei 8666/93;200.0;0.011627906976744186
000064/20;64.0;PREGÃO PRESENCIAL;20;29;Homologada  ;20/08/2020;776592.81;555115.3;Registro de Preços para a aquisição de gêneros alimentícios não perecíveis para atendimento às necessidades do serviço de merenda escolar da Rede Muni;07/08/2020;20/08/2020;;S;;221477.51;0.2851912960667251
000063/20;63.0;DISPENSA;20;22;Homologada  ;03/08/2020;2556.0;1080.0;Contratação de empresa especializada em serviços de suporte técnico e manutenção preventiva dos relógios de ponto da Prefeitura Municipal de Riolândia;02/07/2020;03/08/2020;;N;Art. 24, II, Lei 8666/93;1476.0;0.5774647887323944
000062/20;62.0;DISPENSA;20;21;Homologada  ;31/07/2020;13120.0;11400.0;Contratação de empresa especializada na prestação de serviços de fornecimento, implantação, customização, operação e manutenção de funcionamento pleno;26/05/2020;31/07/2020;;N;Art. 24, II, Lei 8666/93;1720.0;0.13109756097560976
000061/20;61.0;PREGÃO PRESENCIAL;20;28;Homologada  ;12/08/2020;1139700.0;1110000.0;Registro de preço para a aquisição de Óleo Diesel B S-10 para abastecimento direto da frota municipal, através de postos de serviços, pelo período 12 ;30/07/2020;12/08/2020;;S;;29700.0;0.026059489339299816
000060/20;60.0;DISPENSA;20;20;Homologada  ;21/07/2020;8760.0;6960.0;Contratação de empresa para fornecimento de sistema informatizado como serviço (SaaS), para a compilação da legislação municipal, com disponibilização;09/06/2020;21/07/2020;;N;Art. 24, II, Lei 8666/93;1800.0;0.2054794520547945
000059/20;59.0;PREGÃO PRESENCIAL;20;27;Homologada  ;31/07/2020;249491.4;22500.0;Contratação de empresa especializada em serviços de fornecimento de link de dados por fibra óptica para atender as necessidades de diversos setores da;20/07/2020;13/08/2020;;N;;226991.4;0.9098165307501581
000058/20;58.0;PREGÃO PRESENCIAL;20;26;Homologada  ;28/07/2020;386220.81;369787.5;O registro de preços para a contratação de empresa especializada no fornecimento de produtos de panificação, para suprir as necessidades dos diversos ;15/07/2020;28/07/2020;;S;;16433.309999999998;0.042549001955642936
000057/20;57.0;PREGÃO PRESENCIAL;20;25;Homologada  ;24/07/2020;3737450.0;2687500.0;Aquisição de combustíveis para abastecimento direto da frota municipal, através de postos de serviços;13/07/2020;24/07/2020;;S;;1049950.0;0.28092683514160727
000056/20;56.0;PREGÃO PRESENCIAL;20;24;Homologada  ;23/07/2020;626322.0;616870.0;Registro de preços para a aquisição de pneus novos, para suprir as necessidades de manutenção da frota dos diversos setores da Prefeitura Municipal de;10/07/2020;23/07/2020;;S;;9452.0;0.015091278926814004
000055/20;55.0;PREGÃO PRESENCIAL;20;23;Homologada  ;17/07/2020;830828.0;590441.0;Aquisição de Equipamentos de Proteção Individual – EPI e materiais para a realização de testes para COVID-19, para atender a demanda das Unidades Bási;09/07/2020;17/07/2020;;S;;240387.0;0.28933425450273703
000054/20;54.0;PREGÃO PRESENCIAL;20;22;Homologada  ;22/07/2020;214934.4;161390.4;Aquisição de leites especiais e suplementos alimentares, para crianças e adultos com diversos problemas de saúde, inclusive de demanda judicial para o;08/07/2020;22/07/2020;;S;;53544.0;0.24911787038277727
000053/20;53.0;PREGÃO PRESENCIAL;20;21;Homologada  ;16/07/2020;943341.53;451741.4;O Registro de preço para à aquisição de materiais hospitalares para atender a demanda das Unidades Básicas de Saúde do município de Riolândia, pelo pe;03/07/2020;16/07/2020;;S;;491600.13;0.521126351767848
000052/20;52.0;PREGÃO PRESENCIAL;20;20;Homologada  ;15/07/2020;427495.84;415510.0;A aquisição de 02 (dois) veículos 0 km, destinados ao uso do Setor da Saúde do município de Riolândia;01/07/2020;15/07/2020;;N;;11985.840000000026;0.02803732546262912
